P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
4.94,0,1013.52,0,3.3,0
1004.73,0,11.8,0,3.16,0
5.04,0,11.85,0,1029.9,0
1004.49,0,12.05,0,3.3,0
4.93,0,11.82,0,3.17,0
6.04,0,18.42,0,4.98,0
4.98,0,1023.26,0,3.06,0
5.0,0,11.94,0,1008.51,0
4.96,0,1035.93,0,4.47,0
5.48,0,11.88,0,5.3,0
7.0,0,11.9,0,3.09,0
4.9,0,1023.2,0,4.45,0
1004.57,0,11.97,0,3.16,0
4.97,0,11.76,0,4.46,0
4.94,0,12.92,0,3.44,0
4.9,0,11.9,0,4.42,0
5.21,0,12.17,0,3.1,0
5.86,0,11.82,0,4.45,0
7.22,0,12.35,0,3.17,0
5.19,0,12.04,0,3.72,0
4.96,0,12.35,0,1029.88,0
6.96,0,18.2,0,3.18,0
7.05,0,12.56,0,5.3,0
1004.62,0,1013.55,0,4.42,0
1004.31,0,13.66,0,3.23,0
4.94,0,18.52,0,3.14,0
1005.6,0,11.96,0,3.12,0
4.95,0,14.19,0,1008.48,0
7.09,0,11.84,0,3.09,0
4.95,0,12.6,0,4.11,0
7.11,0,12.43,0,3.12,0
1004.61,0,12.23,0,3.49,0
7.02,0,12.41,0,1007.63,0
8.32,0,12.34,0,3.3,0
4.94,0,12.28,0,5.1,0
1005.13,0,14.06,0,3.11,0
5.0,0,12.29,0,3.32,0
5.17,0,12.11,0,4.59,0
1006.69,0,11.99,0,1103.21,0
7.21,0,12.28,0,4.55,0
4.96,0,11.86,0,1008.43,0
1004.23,0,1095.12,0,3.27,0
5.01,0,11.84,0,1022.89,0
7000.67,0,12.39,0,3.15,0
4.97,0,11.92,0,5.62,0
7.12,0,11.82,0,3.16,0
5.0,0,11.88,0,3.17,0
7.15,0,18.64,0,3.13,0
3002.95,0,12.08,0,3.15,0
4.94,0,11.96,0,3.51,0
5.38,0,11.96,0,3.23,0
5.31,0,12.06,0,3.09,0
5.26,0,12.11,0,3.69,0
4.96,0,15.55,0,3.52,0
7.32,0,11.84,0,1030.17,0
3003.2,0,12.17,0,1008.54,0
1004.59,0,1203.65,0,3.29,0
5.02,0,11.83,0,3.2,0
1004.65,0,1037.09,0,3.16,0
5.01,0,12.05,0,1016.79,0
4.98,0,12.19,0,4.45,0
5.62,0,11.88,0,3.21,0
7.33,0,11.86,0,3.14,0
1004.48,0,12.2,0,3.07,0
1004.53,0,14.44,0,4.16,0
4.94,0,12.12,0,1008.99,0
5.27,0,12.19,0,1008.35,0
4.92,0,14.04,0,1014.06,0
5.16,0,1036.9,0,3.15,0
4.93,0,12.0,0,3.14,0
4.97,0,1013.09,0,4.65,0
4.97,0,11.89,0,3.59,0
5.08,0,12.23,0,3.61,0
3004.75,0,13.95,0,3.16,0
4.97,0,18.7,0,3.2,0
6.44,0,11.89,0,3.38,0
3002.66,0,1011.71,0,4.45,0
4.94,0,3019.27,0,3.19,0
1005.67,0,13.29,0,4.64,0
5.28,0,18.66,0,3.15,0
7.0,0,11.84,0,3.62,0
