P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
9.5,5.31,14.9,5.87,4.45
8.52,5.57,15.85,5.98,4.31
8.59,5.27,14.47,5.96,4.38
8.7,4.92,14.88,5.94,4.39
8.56,4.96,14.55,5.89,5.66
8.46,5.07,14.86,5.81,5.04
9.33,5.06,14.79,5.88,4.38
8.37,5.1,14.74,5.86,4.43
8.14,6.0,15.32,5.88,4.36
8.28,5.93,14.51,5.85,4.43
8.17,6.14,14.88,5.92,4.38
8.16,5.39,17.32,5.9,5.43
8.33,5.1,14.81,5.97,5.34
8.43,5.01,14.27,6.32,4.23
8.93,5.04,14.36,6.68,4.3
9.17,5.06,14.71,6.02,4.26
9.44,5.11,15.18,6.29,4.42
9.46,5.23,15.86,6.1,5.08
9.19,5.49,15.68,5.68,5.45
8.97,6.0,15.47,5.71,4.6
8.84,5.76,15.59,5.66,4.4
8.95,5.08,15.73,5.68,4.47
8.57,4.99,15.63,5.75,4.42
8.54,4.94,15.82,5.7,4.49
8.22,4.94,15.12,5.81,4.41
8.24,5.14,15.05,6.67,5.17
8.31,5.68,15.1,6.59,5.02
9.31,5.63,15.08,6.2,4.39
9.01,5.34,15.8,5.71,4.15
9.89,4.61,15.04,5.82,4.31
9.11,4.69,13.87,5.74,4.72
8.72,4.99,14.91,5.66,4.55
9.1,5.04,15.14,5.72,4.23
9.34,5.8,15.25,5.78,4.23
8.28,5.23,15.53,5.85,4.25
8.19,4.94,15.57,6.46,4.36
8.18,4.93,15.63,6.42,5.88
8.26,4.9,15.22,6.69,4.76
8.21,4.95,15.93,5.88,4.29
8.11,5.72,15.33,5.8,4.29
8.5,6.23,15.5,5.75,4.23
9.28,6.0,15.59,5.7,4.39
9.86,5.08,15.32,5.67,4.74
9.15,5.15,14.28,5.71,5.35
9.0,5.03,14.84,5.74,5.0
9.14,5.08,14.44,6.51,4.45
8.47,5.27,14.83,6.8,4.41
8.17,5.05,14.88,6.78,4.25
8.5,5.07,14.68,6.23,4.27
8.28,5.27,14.77,6.25,5.16
8.37,6.31,14.41,5.72,4.95
8.22,6.51,15.06,5.75,4.31
8.43,5.65,14.67,5.74,4.22
8.29,5.09,15.08,5.79,4.28
8.49,4.93,15.35,5.78,4.62
8.01,4.84,15.86,5.72,5.36
8.53,5.03,15.63,5.71,4.28
8.79,5.02,15.7,5.98,4.23
9.07,5.81,15.56,6.27,4.26
8.4,5.41,15.3,6.73,4.95
8.74,4.72,15.73,6.25,4.85
8.72,4.8,15.93,5.72,5.33
8.46,4.92,15.5,5.7,4.74
8.37,5.08,15.21,5.91,4.42
8.47,5.05,16.12,5.93,4.33
9.07,5.53,15.24,5.83,4.37
8.72,5.46,14.87,5.74,4.4
8.77,4.93,14.35,5.72,5.46
8.45,4.92,16.34,5.71,5.58
9.0,4.9,14.39,5.98,4.34
9.68,5.01,15.75,6.75,4.34
8.23,5.15,15.08,6.74,4.35
8.36,5.78,15.11,7.21,4.42
8.22,5.36,15.28,6.38,4.86
9.18,4.96,16.92,5.76,6.06
8.22,4.92,15.69,5.83,4.95
8.23,4.86,15.13,5.88,4.38
9.34,5.08,15.27,5.94,4.45
9.56,5.06,15.79,5.71,4.39
9.06,5.69,14.64,5.77,4.49
8.88,5.84,15.57,5.67,5.58
8.91,5.35,14.86,5.72,6.38
8.84,5.85,14.87,5.71,5.1
8.88,5.94,14.5,5.91,4.38
9.98,5.69,15.1,7.14,4.39
8.67,5.35,14.74,5.85,4.43
8.37,5.1,14.47,6.58,4.4
8.21,5.9,14.49,6.44,5.39
8.3,5.07,14.68,6.69,5.45
8.26,4.87,15.1,6.81,4.43
8.78,5.32,15.04,6.31,4.42
9.03,5.53,15.07,6.11,4.33
9.1,6.02,15.36,6.0,4.4
9.16,5.27,13.89,5.68,4.85
9.09,4.9,14.48,5.72,5.0
9.23,4.91,15.0,5.75,4.53
8.81,4.89,14.51,5.67,4.43
8.33,5.01,14.68,5.71,4.26
8.24,5.49,14.23,5.74,4.25
8.25,5.67,14.84,5.71,5.33
8.2,5.38,15.03,5.69,4.41
7.99,4.93,15.45,5.99,4.24
8.21,4.91,15.69,6.09,4.17
8.27,4.88,16.05,6.34,4.26
8.85,4.94,15.18,6.78,5.06
9.56,5.52,16.1,6.95,4.68
8.68,5.6,15.53,6.13,4.23
8.41,4.91,15.55,5.75,4.22
8.4,4.96,15.73,5.76,4.41
8.67,4.94,14.86,5.77,5.11
9.0,4.95,14.97,5.79,5.47
8.78,5.33,15.55,5.66,4.22
8.49,6.1,15.93,5.67,4.29
9.02,5.35,15.26,5.69,4.28
8.78,4.93,17.54,5.84,4.41
8.7,5.0,15.1,6.06,5.08
8.37,4.93,15.55,6.34,5.23
