P-521,p521_mlkem1024,mlkem1024
16.58,23.88,9.17
16.43,22.97,8.83
17.24,23.52,9.87
17.68,23.56,9.44
17.46,23.68,10.64
17.92,25.51,8.96
17.3,25.13,9.42
17.29,24.52,10.16
17.31,23.7,10.31
17.31,24.6,8.74
17.76,23.86,8.65
18.09,24.64,9.16
17.23,24.42,8.95
17.7,24.1,9.79
17.51,24.05,11.91
17.53,24.58,8.92
17.69,24.16,9.73
17.45,24.15,9.42
16.29,24.02,9.31
16.64,24.02,9.77
