P-521,p521_mlkem1024,mlkem1024
56.22,73.11,26.72
54.45,74.23,25.02
53.8,75.14,27.36
49.45,72.49,26.88
28.81,70.84,28.13
28.13,121.06,27.05
28.5,43.5,27.35
51.48,42.15,27.36
52.18,70.03,26.55
53.35,79.11,24.61
52.54,71.8,24.63
53.77,76.87,25.55
53.71,76.97,26.82
60.09,76.41,25.7
55.93,76.78,26.65
25.54,69.94,27.02
28.73,70.21,26.33
46.11,70.42,24.58
55.64,70.93,25.78
34.24,77.12,27.27
23.2,78.89,25.92
24.11,74.09,25.6
31.9,75.06,26.56
48.91,73.95,25.58
49.7,70.52,25.17
48.69,73.44,24.91
50.43,75.08,25.69
53.61,74.77,25.97
48.82,71.28,26.13
49.23,69.99,26.9
48.75,74.28,24.27
36.12,69.98,24.08
23.71,74.57,24.83
26.5,72.26,25.28
49.59,76.64,24.68
50.76,76.0,25.22
37.77,74.02,25.75
36.7,74.29,25.47
49.17,74.14,24.82
52.88,80.28,25.91
51.97,34.88,24.34
27.57,33.93,25.07
44.87,44.8,26.48
52.42,68.23,26.56
51.28,72.74,25.17
50.6,69.87,26.64
56.26,73.09,24.08
56.52,71.83,23.94
54.51,73.44,24.63
29.32,73.62,24.2
25.05,33.05,25.11
24.82,33.41,24.14
