P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.98,4.03,17.67,4.43,2.5
2.8,2.59,19.04,4.81,2.45
5.15,2.51,17.0,4.54,2.34
2.8,2.92,17.68,4.51,2.32
2.77,3.54,16.64,6.38,2.38
4.14,3.4,18.29,4.95,2.36
3.04,2.44,15.91,4.58,2.47
2.93,2.72,21.59,4.49,2.44
2.83,3.27,17.35,6.43,2.29
3.02,3.38,17.08,4.67,2.48
2.83,3.36,25.16,4.52,2.38
2.78,2.81,23.06,5.05,2.27
2.83,2.47,18.99,4.75,2.34
2.65,3.87,13.71,6.27,2.4
2.73,2.71,19.88,4.66,2.42
2.83,2.67,13.08,4.83,2.42
3.59,2.56,22.85,4.97,2.36
3.01,2.81,13.53,4.52,2.47
2.9,2.38,14.0,4.68,2.38
2.75,3.2,12.84,6.28,2.47
4.18,2.44,14.87,4.54,2.43
3.6,2.74,12.82,4.97,2.26
3.76,4.55,12.99,4.54,2.31
4.28,2.75,20.22,4.39,3.18
4.61,2.44,18.2,4.36,2.42
2.82,2.45,13.55,4.52,2.4
2.72,3.88,13.96,4.42,2.44
2.82,2.42,22.16,4.44,2.42
4.76,2.52,22.24,4.83,2.49
2.73,2.78,15.01,6.25,2.5
2.67,3.3,15.38,5.46,2.45
2.8,3.32,17.2,6.33,2.47
3.56,2.66,16.0,4.92,2.35
3.85,2.52,14.88,4.68,2.43
2.81,2.91,14.38,4.52,3.15
2.79,2.89,13.63,4.63,2.33
2.9,3.75,13.19,4.58,2.45
2.85,2.64,21.14,4.53,2.45
3.57,2.44,13.05,4.88,2.53
2.83,2.53,14.44,4.46,2.58
3.92,2.48,13.18,4.5,2.49
3.25,3.09,14.84,4.87,3.1
3.45,4.2,12.81,4.41,2.48
2.78,2.78,14.56,4.46,2.45
2.75,2.86,13.32,4.38,3.0
2.77,3.02,13.72,4.57,2.44
4.4,3.07,14.39,4.43,2.37
2.95,3.14,15.78,4.36,2.51
2.62,2.76,13.27,7.1,2.52
2.8,4.05,13.61,4.55,2.53
2.78,4.3,13.82,4.49,2.5
3.68,3.01,12.72,6.18,2.37
2.62,3.17,14.14,4.62,2.43
2.67,3.8,12.73,4.49,2.46
2.84,3.24,14.85,5.98,2.5
2.66,2.42,12.58,4.54,2.5
2.66,2.39,13.31,4.47,2.5
2.6,2.39,20.2,4.51,2.43
5.65,4.57,16.63,6.17,2.35
2.89,2.41,12.85,4.6,2.44
2.69,2.48,13.09,4.4,2.47
3.31,3.14,13.65,4.5,2.37
4.73,3.04,13.4,4.59,2.47
4.7,2.5,21.25,4.63,2.35
2.6,2.51,19.75,4.41,2.35
3.93,4.13,12.53,4.5,2.28
4.0,3.12,12.34,4.52,2.44
2.99,2.42,13.04,4.5,2.35
3.54,2.52,12.77,4.42,2.49
2.74,4.55,19.47,4.54,2.38
2.78,3.2,12.86,4.59,2.36
3.6,2.42,20.01,4.93,2.4
2.76,2.42,12.21,5.81,2.34
2.85,2.47,19.38,4.74,2.47
2.64,2.58,19.0,6.33,2.41
2.9,2.42,19.73,4.65,3.04
4.18,3.05,12.37,6.18,2.32
3.8,3.5,18.6,4.65,2.88
2.8,2.39,12.5,5.72,2.24
2.86,2.54,19.99,4.65,2.38
4.24,2.4,18.91,4.47,2.54
3.12,3.79,11.97,4.58,2.43
2.76,2.69,12.36,4.58,2.46
2.85,3.23,18.89,4.73,2.41
2.68,3.03,12.32,4.72,2.47
3.6,3.68,12.21,4.65,2.47
4.47,3.51,18.82,4.65,2.4
2.91,2.43,14.03,4.45,2.32
2.92,2.51,19.76,4.64,2.33
2.76,3.33,14.69,4.56,2.54
4.87,2.95,12.63,4.59,2.59
3.23,2.51,12.98,6.21,2.42
2.83,2.48,20.05,4.52,2.3
2.78,2.51,12.9,4.5,2.31
2.71,4.65,12.53,4.38,2.48
2.74,2.44,18.99,4.44,2.4
2.7,2.47,16.72,4.43,2.6
3.56,3.17,13.81,4.48,2.45
3.43,2.49,19.75,6.19,2.4
4.34,3.21,18.8,4.54,2.4
2.86,2.55,12.17,4.54,2.32
2.64,3.24,12.03,4.54,2.41
3.05,3.21,15.8,4.52,2.29
3.77,3.33,12.78,4.8,2.55
2.99,2.42,12.36,4.45,2.38
3.07,2.49,12.86,6.34,2.44
2.72,2.55,12.86,6.25,2.38
3.29,2.45,12.74,4.38,2.4
2.76,2.44,14.92,4.62,2.39
2.7,2.53,15.31,4.51,2.37
3.55,3.1,13.27,4.58,2.35
4.26,2.79,12.6,4.48,2.38
2.96,2.58,12.97,4.85,2.57
2.78,3.08,12.85,4.97,3.06
2.79,2.48,17.64,4.33,2.2
2.76,3.87,13.86,4.55,3.08
3.32,2.38,13.28,5.97,2.42
2.82,2.45,12.86,5.95,2.36
2.82,2.51,19.66,4.54,2.27
4.25,2.96,12.58,6.04,2.49
2.88,2.89,12.78,4.8,2.4
3.87,2.57,12.84,6.1,2.97
2.87,2.45,14.89,4.6,3.2
3.81,3.14,12.83,6.16,2.4
2.81,2.82,15.09,4.56,2.41
3.46,3.23,19.41,4.38,3.05
2.71,2.45,13.03,4.46,2.37
3.62,2.56,12.44,4.39,2.98
3.87,2.48,13.33,5.97,3.02
2.77,2.48,13.05,4.75,2.29
2.82,3.16,12.65,6.43,2.34
2.75,2.5,20.05,6.38,2.44
3.92,3.75,12.57,4.97,2.31
3.5,2.87,19.9,6.11,2.46
2.95,2.96,12.58,6.06,2.29
2.76,2.87,12.82,5.43,3.1
2.81,2.5,12.82,4.38,2.37
3.55,4.01,19.3,5.97,2.42
2.84,2.77,12.55,4.62,2.42
2.78,2.54,19.63,5.96,3.04
2.82,2.55,11.92,4.54,2.38
3.15,3.43,12.36,4.48,2.56
2.98,2.52,12.05,4.51,2.27
2.74,2.42,18.57,4.42,2.37
2.79,2.52,19.39,4.49,3.09
4.07,4.18,15.85,6.1,3.06
3.0,2.72,21.7,4.57,2.99
2.77,2.44,19.55,4.61,2.96
2.69,2.53,13.65,4.42,2.52
2.82,3.83,12.58,4.38,2.31
2.81,2.81,12.65,4.43,2.33
2.72,2.42,12.75,4.49,2.42
2.67,3.15,12.49,6.07,2.46
3.73,3.14,14.05,4.53,2.54
4.24,2.49,12.63,5.96,2.44
2.74,3.82,12.78,4.59,2.44
2.83,3.0,16.75,6.06,2.6
3.31,3.09,13.67,4.47,2.41
4.09,2.47,12.8,5.54,2.41
3.02,2.48,13.19,5.95,2.43
2.62,4.0,12.38,4.49,2.27
3.51,2.97,12.69,4.43,2.47
3.6,2.93,12.76,5.94,2.48
2.92,2.47,12.78,4.59,2.31
2.74,2.97,12.48,4.44,2.39
4.48,2.74,12.54,4.49,2.33
3.74,2.37,12.6,5.98,2.39
2.97,2.43,14.89,5.9,2.39
4.37,2.98,12.86,4.47,2.42
3.15,4.03,12.74,4.48,2.39
2.71,2.69,22.62,4.45,2.45
2.7,3.15,14.71,4.4,2.45
2.79,2.49,13.87,6.15,2.42
3.48,3.38,14.15,4.55,2.41
3.04,2.4,13.88,4.61,2.44
2.8,2.38,13.37,6.03,3.04
2.83,2.47,13.83,4.51,2.39
2.84,4.08,20.93,5.95,2.42
2.76,2.62,14.07,4.49,2.48
2.86,2.63,13.52,5.96,2.29
3.51,3.13,13.41,5.16,2.5
4.64,2.36,13.45,5.92,2.47
3.48,2.46,14.03,6.08,2.47
2.75,2.67,13.1,6.21,2.41
3.98,2.47,14.38,4.96,2.42
3.17,2.44,13.3,4.82,2.81
2.69,2.48,12.89,4.93,2.46
2.72,2.88,12.64,4.33,2.43
2.66,2.48,13.96,4.44,2.31
4.57,3.17,12.94,4.89,2.31
2.8,2.72,22.13,6.17,2.33
2.82,2.46,20.93,4.9,2.19
2.86,2.48,13.17,5.0,2.39
4.25,2.5,12.85,4.49,2.54
2.63,3.43,12.53,4.93,2.37
3.31,2.48,12.51,5.01,2.88
3.21,2.44,12.88,4.94,2.38
4.31,2.52,12.99,4.52,2.38
2.72,2.67,12.93,4.84,2.41
2.78,4.05,12.91,6.05,2.31
3.19,2.58,12.55,4.39,2.34
3.71,2.47,13.2,4.57,2.41
2.81,2.45,12.92,6.0,2.35
2.68,4.11,20.96,4.51,2.34
2.73,2.76,13.29,4.97,2.9
2.6,2.42,12.77,6.26,2.37
2.79,2.49,12.83,5.96,2.26
2.82,3.31,12.82,6.08,2.93
4.45,2.69,12.95,5.96,2.65
2.8,2.66,13.42,6.18,3.23
2.76,2.54,12.73,4.52,2.35
2.71,2.53,12.48,5.95,2.39
3.48,2.4,12.47,5.02,3.07
3.35,2.53,12.77,4.5,2.38
2.83,3.6,12.59,4.53,2.25
2.96,3.1,12.61,6.08,3.12
3.9,2.95,12.96,4.93,3.01
4.17,2.57,12.85,5.1,2.35
3.57,2.5,12.71,4.67,3.09
2.77,2.52,12.66,4.98,2.43
3.13,3.11,12.43,6.41,2.21
3.67,3.47,12.54,4.96,2.44
2.6,3.67,13.38,4.98,2.45
2.71,2.39,12.82,4.61,2.45
4.49,2.44,12.71,4.94,2.23
2.85,2.98,12.62,5.07,2.31
2.93,4.05,12.8,4.59,2.44
2.82,2.37,21.65,4.99,3.07
2.86,3.09,15.43,5.0,2.31
3.56,3.91,12.38,4.94,2.29
2.81,2.48,12.94,4.89,2.4
2.93,2.51,12.73,4.94,2.4
2.65,2.9,14.29,4.95,2.39
2.85,2.48,13.17,4.91,2.4
2.82,2.4,12.91,4.48,2.46
3.89,2.45,12.85,4.52,3.9
3.31,2.47,12.8,6.12,2.43
2.68,3.04,12.52,4.93,2.51
