P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
7.12,9.96,17.05,12.13,5.45
7.27,5.36,17.03,10.75,4.71
7.22,5.33,17.85,10.02,6.37
7.32,5.4,26.27,10.12,4.59
7.33,5.39,28.13,9.85,5.33
7.39,5.23,17.01,12.23,4.62
7.26,5.43,25.77,8.47,4.75
7.21,5.41,25.22,9.38,4.58
7.09,5.18,16.53,8.51,4.46
7.34,5.39,16.76,9.81,4.27
7.36,5.37,17.31,10.17,4.47
7.33,5.47,17.02,10.22,4.99
7.47,5.42,17.13,8.6,5.17
7.42,7.49,17.58,8.42,5.11
7.37,7.74,24.39,10.15,4.8
7.38,5.52,16.92,9.96,4.64
7.62,5.19,17.26,8.44,4.43
7.48,5.28,16.87,11.84,4.23
10.48,5.38,17.16,8.8,6.17
7.36,5.24,17.3,10.07,4.99
7.38,5.34,16.73,12.21,7.37
10.45,5.38,16.83,10.8,4.83
7.2,5.45,26.39,9.74,4.32
7.29,5.3,16.73,9.39,4.36
7.43,5.51,16.98,8.54,4.3
10.25,5.34,17.36,8.54,5.28
7.68,5.36,16.78,11.6,5.07
7.54,7.33,17.6,10.49,5.12
7.42,5.54,17.07,8.61,4.83
7.25,8.91,17.07,8.94,4.77
7.17,5.67,17.4,8.51,4.5
7.39,5.46,17.52,12.78,5.65
7.19,7.95,16.79,9.13,4.42
7.38,5.44,17.86,9.61,4.51
7.3,5.36,17.88,9.02,4.78
7.13,5.41,17.59,13.22,6.8
7.36,5.37,17.76,9.28,6.65
8.86,5.62,20.94,9.0,6.27
7.39,5.73,17.39,9.01,5.89
7.33,5.44,20.48,9.58,5.72
7.34,5.38,17.46,8.32,6.62
7.24,5.69,16.6,9.41,4.53
10.27,5.37,17.02,9.99,4.99
7.43,7.9,17.61,9.46,6.66
7.37,5.66,17.47,9.73,6.52
7.27,5.39,17.35,9.91,6.21
7.32,5.33,17.52,9.78,6.19
7.43,5.42,17.41,9.46,4.94
7.36,7.43,17.06,10.25,6.7
10.07,5.43,17.2,9.83,5.12
10.19,7.17,26.33,9.83,4.51
7.35,5.16,17.32,9.73,4.47
7.4,5.33,17.15,10.84,4.7
7.46,5.35,17.47,8.75,5.47
10.17,5.44,17.11,10.12,6.71
7.6,5.3,26.04,12.56,5.48
7.24,5.3,16.76,10.92,4.86
7.24,5.31,25.86,9.9,4.63
10.15,5.33,28.58,11.8,6.21
7.3,5.34,26.83,10.38,6.45
7.42,6.04,25.14,10.69,6.07
9.95,6.82,20.14,10.01,4.47
7.43,8.45,17.32,8.84,4.46
7.45,5.55,17.25,9.27,4.97
7.42,5.54,17.52,8.33,4.53
9.93,5.62,17.2,12.26,4.59
11.78,5.52,17.13,8.39,6.53
12.07,5.52,17.14,9.32,4.55
7.75,5.59,26.1,10.01,4.36
9.87,5.38,25.93,9.52,4.42
7.77,5.58,17.62,9.76,5.68
7.57,5.62,20.45,10.48,4.82
9.96,5.36,17.22,8.79,4.7
7.41,5.57,17.68,10.72,4.49
7.4,5.63,16.81,8.37,4.42
7.53,5.39,22.41,9.49,4.38
7.33,5.23,20.84,9.85,6.51
7.4,5.49,21.11,13.96,6.68
7.49,5.36,17.39,12.01,5.41
7.14,5.16,17.22,10.32,4.22
7.34,5.13,17.22,8.47,4.29
7.28,5.34,17.05,8.37,4.38
7.6,5.27,16.91,9.22,4.93
7.25,5.26,20.3,11.07,4.32
7.44,5.14,20.57,8.59,6.88
7.33,5.29,20.55,13.07,4.66
10.34,5.28,20.41,8.72,4.46
7.19,5.32,21.66,10.63,4.51
7.42,5.34,17.34,10.2,4.84
10.3,5.38,17.07,8.45,6.25
7.34,5.6,17.1,9.61,4.83
7.46,5.43,17.85,12.09,4.42
7.63,5.25,17.69,12.42,6.39
11.78,5.5,17.46,9.69,6.43
9.62,5.25,17.06,8.68,4.87
