P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
9.35,4.86,13.53,5.64,4.4
8.6,5.02,13.87,5.85,4.65
9.51,5.67,13.5,6.42,4.83
8.67,5.52,13.53,5.56,4.09
8.15,4.92,14.55,5.57,4.08
8.1,4.91,13.56,5.53,4.17
7.96,4.97,13.69,5.53,4.77
8.31,4.92,14.17,5.63,4.59
8.78,4.94,14.21,5.78,4.08
8.75,5.73,13.75,5.77,4.11
9.22,6.13,13.82,5.5,4.32
8.97,6.01,13.51,5.58,4.62
8.65,5.13,13.98,5.54,4.14
8.41,5.13,13.62,5.51,4.14
8.38,6.75,14.14,5.73,4.11
8.62,5.02,13.79,5.79,4.55
8.44,5.03,14.3,5.89,4.39
7.92,5.07,13.93,5.49,4.14
8.94,5.45,13.88,5.52,4.11
8.06,5.8,14.23,5.5,4.14
8.11,6.12,14.68,5.78,4.87
8.12,5.66,14.21,5.72,5.06
8.65,4.86,14.46,5.93,4.09
8.83,4.89,14.6,5.83,4.13
8.93,4.89,14.26,5.74,4.47
9.05,4.93,13.74,5.59,4.71
8.51,5.37,14.44,5.56,4.2
8.89,5.65,16.06,5.53,4.1
8.96,5.0,13.93,5.76,4.13
8.68,4.96,13.89,5.74,4.66
8.91,4.88,14.3,5.56,4.21
9.14,4.86,13.75,5.54,4.22
8.23,4.99,13.91,5.51,4.22
8.3,5.42,14.41,5.51,4.4
8.28,5.39,14.11,5.59,5.28
8.27,5.37,13.82,5.97,4.3
9.2,4.91,14.09,5.72,4.26
9.67,4.92,14.27,6.09,4.18
9.45,4.9,13.88,5.53,4.41
9.48,4.95,13.48,5.63,4.62
8.85,5.43,14.73,5.47,4.27
8.52,5.4,13.84,5.49,4.23
8.21,4.95,13.54,6.25,4.33
8.15,5.79,13.84,6.01,4.76
8.48,4.96,14.52,6.04,4.49
9.18,5.11,13.42,5.52,4.25
9.06,5.13,13.93,5.32,4.7
9.12,6.19,14.26,5.31,4.29
9.95,5.86,13.37,5.92,4.68
9.29,4.99,14.75,5.84,5.04
9.05,4.94,13.88,5.59,4.27
8.77,4.9,13.53,5.38,4.22
8.31,5.14,13.85,5.36,4.24
8.24,5.09,13.71,5.46,4.8
8.3,6.16,13.73,5.7,4.53
8.23,5.62,14.16,6.01,4.3
8.46,5.53,13.78,5.91,4.25
9.08,5.09,13.64,5.87,4.25
8.98,5.06,13.79,5.54,4.79
9.24,5.08,13.63,5.51,5.27
9.02,5.04,13.73,5.53,4.25
8.67,5.11,13.75,5.56,4.26
8.54,5.1,13.53,5.75,4.28
8.29,5.9,14.26,6.13,4.51
9.03,5.36,14.08,5.74,4.63
8.45,4.94,14.03,5.58,4.31
8.94,4.93,14.69,5.51,4.29
8.44,4.88,14.26,5.73,4.23
8.13,4.95,13.51,5.58,4.28
8.04,4.97,13.82,5.9,4.79
8.0,5.88,13.9,6.0,5.21
7.96,5.7,13.35,6.09,4.83
7.81,4.96,13.75,5.22,4.22
7.75,4.69,16.16,5.36,4.13
7.79,4.9,14.04,5.45,4.23
8.08,4.92,13.69,5.66,4.67
8.66,4.92,13.6,5.68,4.88
8.29,5.35,14.12,5.79,4.08
8.43,5.46,14.27,5.48,4.17
8.65,5.39,13.6,5.34,4.07
9.15,4.95,15.76,5.33,4.73
8.96,4.94,14.39,5.55,4.85
8.92,4.87,13.44,5.52,4.24
8.9,4.97,14.35,5.71,3.95
9.34,5.65,13.94,5.81,4.1
9.07,5.97,13.49,5.85,4.99
10.04,5.16,13.45,5.59,4.5
8.57,4.95,13.61,5.58,4.34
8.38,5.36,13.37,5.51,4.13
8.26,5.06,13.66,5.53,4.57
8.25,5.17,13.84,5.91,4.84
8.36,5.71,13.93,6.27,6.17
8.26,5.99,13.6,6.17,4.2
8.57,5.93,14.28,5.55,3.89
9.03,5.11,14.46,5.54,4.04
9.13,4.78,14.08,5.47,4.62
9.08,4.85,13.48,5.58,3.82
8.98,4.89,13.68,5.89,3.92
8.73,5.0,14.4,5.8,4.04
8.35,5.8,14.2,6.0,4.32
8.24,6.34,13.47,5.74,4.01
8.01,4.87,13.81,5.58,3.94
8.27,4.9,13.87,5.49,4.08
8.28,5.09,13.36,5.56,4.96
8.59,4.93,14.3,5.66,4.97
9.21,4.93,14.77,6.09,4.14
9.24,5.02,14.1,5.83,4.1
9.69,5.23,14.26,5.59,4.12
9.33,5.52,13.8,5.54,4.61
9.6,6.04,14.31,5.5,4.13
