P-521,p521_mlkem1024,mlkem1024
7.42,19.76,5.0
9.76,21.71,4.72
7.55,22.55,4.79
8.93,20.83,5.22
10.94,22.91,5.5
9.59,19.41,4.93
7.86,24.5,6.66
9.03,20.09,6.37
8.68,19.32,4.85
8.87,29.46,4.64
8.76,27.53,4.71
7.83,26.97,4.67
7.56,18.82,5.02
11.58,22.23,6.74
7.58,20.2,6.92
8.77,19.66,4.68
7.73,21.31,4.58
9.12,20.38,5.54
7.47,24.9,5.13
9.24,19.77,4.66
7.51,30.46,4.71
8.0,19.4,6.23
9.09,20.54,5.15
7.57,20.55,4.75
9.83,23.58,6.08
7.53,24.26,5.27
12.55,28.33,5.11
9.26,18.41,6.62
7.46,18.39,5.85
9.78,19.02,6.71
8.49,20.23,4.93
8.17,19.32,5.99
12.51,30.5,4.9
7.85,29.93,6.6
12.18,20.23,4.7
7.61,19.92,4.71
7.91,30.23,4.93
10.8,22.82,4.6
8.5,22.81,4.8
9.2,22.22,5.15
9.88,20.54,4.95
8.05,30.09,4.69
8.94,30.39,6.94
8.74,23.57,6.86
7.64,21.5,5.06
9.42,18.44,4.86
7.21,26.87,4.75
10.27,22.52,5.36
7.5,20.76,5.4
9.64,20.71,4.82
7.38,20.17,5.21
10.92,22.37,5.41
8.91,21.78,6.12
7.76,19.85,4.82
8.63,20.82,4.58
9.61,21.09,5.0
11.33,20.58,6.1
7.5,20.19,4.95
7.44,23.09,4.75
7.62,20.72,4.76
7.73,21.98,7.45
8.4,28.6,5.45
10.63,18.63,5.21
9.44,27.25,6.72
7.61,28.08,4.94
8.79,17.92,4.86
8.93,19.96,5.01
7.6,18.83,4.85
9.14,21.62,4.72
8.29,21.09,5.29
9.16,21.9,4.71
7.59,20.3,4.62
8.62,20.77,4.77
9.45,23.32,5.62
8.38,20.3,5.12
9.65,19.54,4.83
7.52,20.58,4.72
8.41,20.62,5.3
9.19,22.21,5.96
7.36,21.56,4.76
8.22,23.4,4.77
7.66,20.11,5.68
8.57,28.75,7.23
8.14,19.22,4.8
7.71,21.63,5.1
8.48,21.08,5.29
7.43,20.12,4.74
9.12,21.29,4.6
7.58,20.58,5.13
9.34,19.89,7.72
7.53,20.22,4.88
9.82,30.47,4.73
7.84,20.08,5.43
9.21,26.79,6.83
12.03,30.63,6.87
7.49,20.31,4.97
9.55,22.04,6.5
12.04,24.13,5.45
7.35,19.24,5.74
8.74,20.8,4.72
