P-521,p521_mlkem1024,mlkem1024
16.44,23.89,9.53
16.54,24.25,9.27
16.55,25.11,8.7
17.14,26.35,8.26
18.12,24.81,8.59
17.4,24.72,9.4
18.1,24.55,9.62
17.82,24.34,8.96
18.5,24.35,8.99
17.77,24.4,9.22
17.45,24.65,8.43
17.49,24.68,8.38
16.76,24.74,8.14
17.61,24.59,8.78
16.18,25.34,9.94
16.32,24.87,8.78
16.68,24.48,8.49
16.53,24.45,8.26
16.68,23.38,8.21
16.17,24.5,8.22
16.69,24.06,8.36
16.17,23.85,9.66
16.82,23.35,8.63
16.78,24.27,9.57
16.46,23.72,9.05
16.21,23.58,8.31
16.54,24.39,7.63
16.21,24.55,7.77
17.24,24.38,7.93
17.56,24.15,8.03
17.56,23.99,8.19
17.15,25.72,7.99
16.36,24.56,8.06
16.59,24.26,8.1
16.93,24.39,8.27
16.82,24.04,8.56
17.13,24.16,7.85
18.03,23.47,7.96
18.12,24.14,8.79
17.86,23.9,8.41
16.77,24.7,8.68
16.91,23.28,8.72
16.5,23.46,8.76
16.2,24.05,9.89
16.83,25.14,8.94
16.66,24.92,8.87
17.22,23.67,8.33
16.92,25.89,8.89
16.85,25.63,8.72
17.55,25.5,9.82
17.34,25.45,10.98
17.35,25.39,8.19
17.68,25.89,9.44
17.75,24.05,8.01
17.41,23.53,7.93
18.0,24.88,8.1
17.38,24.32,7.96
17.32,25.81,8.0
17.14,25.04,8.02
17.11,25.06,7.95
16.78,24.48,7.67
16.22,24.95,7.76
16.23,24.38,7.77
16.2,23.78,8.08
16.23,23.74,7.73
16.34,24.0,7.49
16.76,23.56,7.53
16.45,25.15,7.44
16.91,23.77,7.72
17.74,24.77,7.78
17.28,24.15,8.4
17.26,23.8,8.51
17.76,24.33,9.86
16.84,25.55,9.77
17.38,24.81,9.72
17.29,25.1,8.44
17.55,24.57,9.84
16.75,24.65,9.43
16.99,24.65,9.29
17.3,25.14,8.53
16.72,23.74,8.39
17.73,23.46,8.25
17.82,24.23,8.24
17.65,23.8,7.63
17.93,24.78,8.1
17.3,24.33,8.29
17.61,24.64,9.1
17.58,24.99,8.43
17.61,25.64,8.62
18.06,24.27,8.58
17.24,24.23,8.86
17.32,25.11,9.21
16.74,25.85,8.97
16.83,24.71,8.41
17.55,25.57,8.87
16.9,25.93,8.8
17.37,25.79,8.15
17.48,27.41,7.54
17.16,24.83,7.83
16.3,24.89,7.92
16.7,25.03,8.05
16.7,23.76,8.78
16.51,23.66,8.56
16.59,24.23,10.81
16.55,23.57,12.02
16.23,23.53,9.05
16.17,23.68,10.35
16.6,24.06,10.02
16.23,24.14,8.26
16.38,23.47,8.68
16.79,23.81,8.26
16.27,23.75,8.4
16.62,23.32,8.51
16.15,23.17,8.15
16.33,23.97,9.06
16.86,23.58,9.13
17.25,23.52,9.44
17.37,23.99,8.64
16.75,23.5,9.22
16.68,24.11,8.12
17.06,23.83,7.97
16.99,25.34,8.08
17.48,24.08,7.82
16.85,23.85,7.82
16.57,25.36,8.11
16.84,24.22,8.2
16.05,24.64,8.29
16.62,24.79,8.08
16.8,24.58,8.69
17.2,23.7,8.48
16.71,23.86,8.49
17.17,24.35,8.81
16.73,24.72,8.84
16.49,24.81,8.87
16.97,24.52,8.47
16.33,23.87,9.55
16.3,24.72,8.32
16.55,24.9,8.19
16.23,24.73,8.23
16.4,24.43,8.82
15.93,23.11,8.61
16.2,23.74,8.52
16.44,23.34,8.53
16.49,24.1,8.47
17.08,24.39,8.29
17.11,25.02,7.9
17.12,24.87,11.02
16.82,24.43,8.09
17.06,25.24,8.59
17.16,23.92,10.32
18.59,24.98,11.73
