P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
8.04,3.82,14.73,8.15,3.05
5.28,5.0,12.19,6.31,3.34
5.04,3.74,11.84,8.2,4.26
5.97,4.98,11.82,5.61,3.05
6.34,3.69,14.57,6.95,2.97
7.02,4.08,14.63,5.68,2.99
6.44,6.26,14.86,6.06,4.61
5.04,4.67,12.33,5.63,2.89
5.5,4.57,18.77,5.89,3.41
5.27,5.01,12.61,6.38,2.95
5.36,5.32,12.76,6.01,2.91
6.47,4.55,11.94,5.62,2.96
5.16,4.41,11.9,7.27,2.98
5.0,3.75,14.21,7.98,3.5
6.65,5.21,12.02,8.24,2.94
7.39,3.71,15.21,6.59,3.59
6.28,3.87,12.38,6.44,2.96
5.54,3.7,12.65,5.93,3.0
5.13,4.41,12.06,7.25,3.08
6.61,3.66,12.18,5.58,2.95
5.57,4.29,12.1,6.6,3.89
5.07,3.74,11.93,5.54,4.18
5.66,3.95,11.96,6.42,3.44
5.08,3.68,14.53,5.63,2.94
5.29,3.69,15.32,5.74,3.76
6.79,3.75,12.31,6.09,2.97
6.34,3.73,12.06,5.57,2.97
6.97,4.51,12.24,7.14,2.93
6.39,5.72,12.01,5.65,3.38
6.48,5.13,13.11,6.62,3.06
5.36,5.99,15.01,5.75,4.21
5.05,4.28,15.24,5.66,3.1
5.96,3.93,12.91,5.67,2.93
5.06,4.96,13.29,6.5,3.19
6.92,3.78,19.14,8.16,2.87
5.16,4.12,18.68,6.87,4.21
6.87,3.75,19.17,6.31,3.5
6.36,3.85,13.2,5.57,4.14
5.22,3.74,18.43,6.48,3.25
5.22,3.77,12.63,5.5,2.98
7.22,3.8,11.95,5.7,4.18
5.64,3.84,11.91,6.27,3.02
5.23,3.67,11.96,5.6,4.33
6.82,4.0,12.06,5.69,4.14
6.53,3.75,12.01,6.02,4.57
6.53,3.82,11.97,6.61,3.01
6.89,3.76,12.16,6.54,3.39
5.06,5.26,12.12,5.63,3.33
5.33,4.94,12.14,5.87,3.35
7.14,3.69,14.78,5.68,3.07
6.35,3.76,12.56,6.8,2.92
7.27,5.27,19.1,6.49,3.56
5.04,4.37,12.64,5.72,2.94
5.91,3.76,12.76,8.26,3.0
5.04,3.79,12.58,6.43,2.92
5.51,3.64,12.55,8.05,2.99
7.2,3.74,18.85,8.01,3.47
7.13,3.79,15.17,6.35,3.13
5.83,3.68,18.98,5.58,3.32
5.06,6.52,13.09,5.94,2.95
7.24,4.65,12.13,9.21,3.13
5.08,5.55,12.61,6.57,2.95
5.13,4.13,12.02,5.63,3.73
5.75,3.79,12.49,11.23,3.0
6.36,3.84,11.88,5.65,3.01
5.05,3.77,14.25,5.51,2.94
5.64,4.11,12.29,6.13,3.05
5.01,4.38,12.58,8.01,2.96
5.75,4.26,12.38,5.63,2.96
5.06,3.88,12.73,6.32,2.97
5.73,5.81,12.77,5.6,2.99
7.22,4.13,12.73,6.7,4.15
5.56,4.16,12.7,5.6,3.08
7.59,3.75,12.87,6.33,3.07
5.06,5.54,12.6,8.4,2.98
6.86,3.73,12.9,8.02,3.62
5.03,4.84,12.73,6.18,2.91
5.67,5.25,14.06,8.54,3.05
5.1,4.01,14.9,5.56,3.15
5.04,4.48,15.37,6.01,4.21
5.69,3.8,12.6,6.58,3.04
5.11,3.7,11.98,5.59,3.15
5.43,3.7,12.51,6.38,4.21
5.07,3.93,11.95,8.03,3.44
5.29,3.71,13.65,6.33,2.9
5.08,3.97,11.94,8.36,3.25
6.0,5.31,12.89,5.61,2.98
5.08,3.77,12.06,6.68,4.24
5.18,5.44,12.67,5.62,2.96
6.4,3.68,12.21,6.08,3.98
7.13,3.73,12.05,6.23,3.05
6.88,3.73,11.88,5.64,2.95
7.16,3.95,11.97,6.74,4.49
5.09,3.94,11.96,5.63,2.92
5.6,3.8,14.34,5.77,3.81
5.07,3.76,12.09,6.74,2.96
5.82,3.87,12.8,5.62,3.41
5.07,3.71,14.61,6.7,3.35
5.39,3.75,14.5,5.83,4.32
5.52,3.76,14.86,5.85,3.33
5.04,3.77,12.12,8.57,2.99
5.66,3.67,12.54,8.08,3.31
5.99,3.69,12.11,6.7,3.08
7.14,4.06,12.49,5.99,4.12
6.05,5.68,12.57,5.62,2.96
5.03,3.75,12.11,6.08,3.2
7.63,3.73,13.36,6.89,2.94
5.33,4.05,12.21,5.7,3.02
5.08,3.88,12.01,5.63,3.32
6.09,4.65,12.0,6.43,2.94
7.18,3.94,12.12,7.37,3.4
5.1,4.54,18.98,5.66,2.94
5.73,3.81,12.58,5.6,2.98
7.17,3.8,12.89,8.97,3.57
7.14,3.89,12.86,5.66,2.98
5.68,3.91,15.17,5.58,4.42
